Region	Month of Period End	Median Sale Price	Median Sale Price MoM 	Median Sale Price YoY 	Homes Sold	Homes Sold MoM 	Homes Sold YoY 	New Listings	New Listings MoM 	New Listings YoY 	Inventory	Inventory MoM 	 Inventory YoY 	Days on Market	Days on Market MoM	Days on Market YoY	Average Sale To List	Average Sale To List MoM 	Average Sale To List YoY 
Boston, MA metro area	Jan-12	$303K	-3.80%	-2.30%	2,120	-31.70%	1.60%	3,741	88.80%	14.80%	18,030	2.10%	-1.70%	133	6	1	95.70%	-0.20%	-0.10%
Boston, MA metro area	Feb-12	$290K	-4.30%	0.20%	2,166	2.20%	31.40%	4,826	29.00%	32.80%	19,689	9.20%	2.90%	143	10	-4	95.70%	0.00%	0.00%
Boston, MA metro area	Mar-12	$305K	5.20%	1.70%	2,892	33.50%	15.90%	7,186	48.90%	-0.20%	22,756	15.60%	1.00%	145	2	-2	96.10%	0.50%	0.30%
Boston, MA metro area	Apr-12	$324K	6.10%	2.00%	3,269	13.00%	18.30%	6,760	-5.90%	-7.50%	25,028	10.00%	-2.90%	108	-37	-17	96.60%	0.40%	0.40%
Boston, MA metro area	May-12	$340K	5.10%	3.00%	4,274	30.70%	28.90%	6,346	-6.10%	-6.20%	25,818	3.20%	-6.80%	93	-15	-4	97.20%	0.60%	0.80%
Boston, MA metro area	Jun-12	$375K	10.30%	3.60%	5,283	23.60%	16.80%	5,456	-14.00%	-9.70%	24,525	-5.00%	-10.30%	93	0	0	97.30%	0.10%	0.70%
Boston, MA metro area	Jul-12	$360K	-4.00%	1.40%	4,751	-10.10%	26.90%	4,339	-20.50%	-3.80%	22,766	-7.20%	-13.10%	95	2	-3	97.20%	-0.10%	0.70%
Boston, MA metro area	Aug-12	$355K	-1.40%	1.40%	5,130	8.00%	25.80%	4,205	-3.10%	-3.40%	20,488	-10.00%	-16.40%	102	7	-4	97.30%	0.00%	0.90%
Boston, MA metro area	Sep-12	$335K	-5.60%	2.00%	3,431	-33.10%	6.60%	5,180	23.20%	-1.70%	20,792	1.50%	-15.00%	105	3	-15	97.10%	-0.10%	0.90%
Boston, MA metro area	Oct-12	$325K	-3.00%	8.30%	3,477	1.30%	26.20%	4,167	-19.60%	1.20%	19,848	-4.50%	-15.60%	105	0	-19	97.20%	0.00%	1.40%
Boston, MA metro area	Nov-12	$336K	3.40%	4.30%	3,818	9.80%	32.50%	2,813	-32.50%	-3.20%	17,172	-13.50%	-18.00%	99	-6	-22	97.20%	0.10%	1.20%
Boston, MA metro area	Dec-12	$343K	1.90%	8.70%	3,600	-5.70%	15.90%	1,687	-40.00%	-14.80%	13,926	-18.90%	-21.10%	102	3	-25	97.20%	0.00%	1.30%
Boston, MA metro area	Jan-13	$325K	-5.10%	7.30%	2,558	-28.90%	20.70%	3,678	118.00%	-1.70%	14,150	1.60%	-21.50%	114	12	-19	96.90%	-0.30%	1.20%
Boston, MA metro area	Feb-13	$317K	-2.50%	9.30%	2,092	-18.20%	-3.40%	4,015	9.20%	-16.80%	15,411	8.90%	-21.70%	127	13	-16	96.90%	0.00%	1.20%
Boston, MA metro area	Mar-13	$325K	2.50%	6.60%	2,844	35.90%	-1.70%	5,616	39.90%	-21.80%	17,440	13.20%	-23.40%	112	-15	-33	97.30%	0.40%	1.20%
Boston, MA metro area	Apr-13	$350K	7.70%	8.20%	3,438	20.90%	5.20%	7,853	39.80%	16.20%	20,983	20.30%	-16.20%	85	-27	-23	98.20%	0.90%	1.60%
Boston, MA metro area	May-13	$365K	4.30%	7.40%	4,632	34.70%	8.40%	7,760	-1.20%	22.30%	23,116	10.20%	-10.50%	78	-7	-15	98.60%	0.40%	1.40%
Boston, MA metro area	Jun-13	$390K	6.80%	4.00%	5,620	21.30%	6.40%	6,155	-20.70%	12.80%	22,723	-1.70%	-7.30%	78	0	-15	99.00%	0.40%	1.70%
Boston, MA metro area	Jul-13	$386K	-1.00%	7.20%	5,875	4.50%	23.70%	5,084	-17.40%	17.20%	20,945	-7.80%	-8.00%	80	2	-15	99.00%	0.00%	1.80%
Boston, MA metro area	Aug-13	$385K	-0.30%	8.50%	5,687	-3.20%	10.90%	4,788	-5.80%	13.90%	19,032	-9.10%	-7.10%	82	2	-20	98.80%	-0.20%	1.60%
Boston, MA metro area	Sep-13	$370K	-3.90%	10.40%	4,160	-26.90%	21.20%	5,858	22.30%	13.10%	19,517	2.50%	-6.10%	85	3	-20	98.50%	-0.30%	1.40%
Boston, MA metro area	Oct-13	$360K	-2.70%	10.80%	3,948	-5.10%	13.50%	4,879	-16.70%	17.10%	18,886	-3.20%	-4.80%	80	-5	-25	98.30%	-0.20%	1.20%
Boston, MA metro area	Nov-13	$362K	0.70%	7.90%	3,628	-8.10%	-5.00%	2,958	-39.40%	5.20%	16,639	-11.90%	-3.10%	81	1	-18	98.10%	-0.20%	0.90%
Boston, MA metro area	Dec-13	$371K	2.40%	8.30%	3,819	5.30%	6.10%	1,845	-37.60%	9.40%	13,212	-20.60%	-5.10%	86	5	-16	97.90%	-0.20%	0.70%
Boston, MA metro area	Jan-14	$366K	-1.50%	12.50%	2,596	-32.00%	1.50%	3,268	77.10%	-11.10%	13,119	-0.70%	-7.30%	101	15	-13	97.80%	-0.10%	0.80%
Boston, MA metro area	Feb-14	$340K	-7.00%	7.30%	2,066	-20.40%	-1.20%	3,961	21.20%	-1.30%	14,358	9.40%	-6.80%	114	13	-13	97.70%	-0.10%	0.80%
Boston, MA metro area	Mar-14	$363K	6.70%	11.60%	2,774	34.30%	-2.50%	5,931	49.70%	5.60%	16,703	16.30%	-4.20%	96	-18	-16	98.40%	0.60%	1.00%
Boston, MA metro area	Apr-14	$367K	1.20%	4.90%	3,321	19.70%	-3.40%	7,440	25.40%	-5.30%	19,857	18.90%	-5.40%	77	-19	-8	98.90%	0.50%	0.70%
Boston, MA metro area	May-14	$385K	4.90%	5.50%	4,450	34.00%	-3.90%	7,735	4.00%	-0.30%	22,102	11.30%	-4.40%	73	-4	-5	99.30%	0.40%	0.70%
Boston, MA metro area	Jun-14	$412K	7.00%	5.60%	5,635	26.60%	0.30%	6,681	-13.60%	8.50%	22,222	0.50%	-2.20%	75	2	-3	99.50%	0.20%	0.50%
Boston, MA metro area	Jul-14	$405K	-1.70%	4.90%	5,612	-0.40%	-4.50%	5,275	-21.00%	3.80%	20,994	-5.50%	0.20%	75	0	-5	99.20%	-0.30%	0.20%
Boston, MA metro area	Aug-14	$400K	-1.30%	3.90%	5,221	-7.00%	-8.20%	4,322	-18.10%	-9.70%	18,979	-9.60%	-0.30%	78	3	-4	98.90%	-0.30%	0.10%
