Region	Start	End	Property Type	Bedrooms	Median Asking Rent	Median Asking Rent MoM	Median Asking Rent YoY	size
 National	Mar-19	May-19	Multi-Family (25+ Units)	All	$1,594 			1
 National	Apr-19	Jun-19	Multi-Family (25+ Units)	All	$1,555 	-2.40%		1
 National	May-19	Jul-19	Multi-Family (25+ Units)	All	$1,535 	-1.30%		1
 National	Jun-19	Aug-19	Multi-Family (25+ Units)	All	$1,485 	-3.30%		1
 National	Jul-19	Sep-19	Multi-Family (25+ Units)	All	$1,476 	-0.60%		1
 National	Aug-19	Oct-19	Multi-Family (25+ Units)	All	$1,469 	-0.50%		1
 National	Sep-19	Nov-19	Multi-Family (25+ Units)	All	$1,460 	-0.60%		1
 National	Oct-19	Dec-19	Multi-Family (25+ Units)	All	$1,449 	-0.80%		1
 National	Nov-19	Jan-20	Multi-Family (25+ Units)	All	$1,443 	-0.40%		1
 National	Dec-19	Feb-20	Multi-Family (25+ Units)	All	$1,449 	0.40%		1
 National	Jan-20	Mar-20	Multi-Family (25+ Units)	All	$1,459 	0.70%		1
 National	Feb-20	Apr-20	Multi-Family (25+ Units)	All	$1,460 	0.10%		1
 National	Mar-20	May-20	Multi-Family (25+ Units)	All	$1,469 	0.60%	-7.80%	1
 National	Apr-20	Jun-20	Multi-Family (25+ Units)	All	$1,480 	0.70%	-4.80%	1
 National	May-20	Jul-20	Multi-Family (25+ Units)	All	$1,495 	1.00%	-2.60%	1
 National	Jun-20	Aug-20	Multi-Family (25+ Units)	All	$1,500 	0.30%	1.00%	1
 National	Jul-20	Sep-20	Multi-Family (25+ Units)	All	$1,499 	-0.10%	1.60%	1
 National	Aug-20	Oct-20	Multi-Family (25+ Units)	All	$1,500 	0.10%	2.10%	1
 National	Sep-20	Nov-20	Multi-Family (25+ Units)	All	$1,495 	-0.30%	2.40%	1
 National	Oct-20	Dec-20	Multi-Family (25+ Units)	All	$1,490 	-0.30%	2.80%	1
 National	Nov-20	Jan-21	Multi-Family (25+ Units)	All	$1,490 	0.00%	3.30%	1
 National	Dec-20	Feb-21	Multi-Family (25+ Units)	All	$1,503 	0.90%	3.70%	1
 National	Jan-21	Mar-21	Multi-Family (25+ Units)	All	$1,538 	2.30%	5.40%	1
 National	Feb-21	Apr-21	Multi-Family (25+ Units)	All	$1,580 	2.70%	8.20%	1
 National	Mar-21	May-21	Multi-Family (25+ Units)	All	$1,610 	1.90%	9.60%	1
 National	Apr-21	Jun-21	Multi-Family (25+ Units)	All	$1,652 	2.60%	11.60%	1
 National	May-21	Jul-21	Multi-Family (25+ Units)	All	$1,690 	2.30%	13.00%	1
 National	Jun-21	Aug-21	Multi-Family (25+ Units)	All	$1,719 	1.70%	14.60%	1
 National	Jul-21	Sep-21	Multi-Family (25+ Units)	All	$1,732 	0.80%	15.50%	1
 National	Aug-21	Oct-21	Multi-Family (25+ Units)	All	$1,734 	0.10%	15.60%	1
 National	Sep-21	Nov-21	Multi-Family (25+ Units)	All	$1,724 	-0.60%	15.30%	1
 National	Oct-21	Dec-21	Multi-Family (25+ Units)	All	$1,723 	-0.10%	15.60%	1
 National	Nov-21	Jan-22	Multi-Family (25+ Units)	All	$1,730 	0.40%	16.10%	1
 National	Dec-21	Feb-22	Multi-Family (25+ Units)	All	$1,744 	0.80%	16.00%	1
 National	Jan-22	Mar-22	Multi-Family (25+ Units)	All	$1,765 	1.20%	14.80%	1
 National	Feb-22	Apr-22	Multi-Family (25+ Units)	All	$1,785 	1.10%	13.00%	1
 National	Mar-22	May-22	Multi-Family (25+ Units)	All	$1,815 	1.70%	12.70%	1
 National	Apr-22	Jun-22	Multi-Family (25+ Units)	All	$1,845 	1.70%	11.70%	1
 National	May-22	Jul-22	Multi-Family (25+ Units)	All	$1,860 	0.80%	10.10%	1
 National	Jun-22	Aug-22	Multi-Family (25+ Units)	All	$1,844 	-0.90%	7.30%	1
 National	Jul-22	Sep-22	Multi-Family (25+ Units)	All	$1,820 	-1.30%	5.10%	1
 National	Aug-22	Oct-22	Multi-Family (25+ Units)	All	$1,785 	-1.90%	2.90%	1
 National	Sep-22	Nov-22	Multi-Family (25+ Units)	All	$1,775 	-0.60%	3.00%	1
 National	Oct-22	Dec-22	Multi-Family (25+ Units)	All	$1,769 	-0.30%	2.70%	1
 National	Nov-22	Jan-23	Multi-Family (25+ Units)	All	$1,771 	0.10%	2.40%	1
 National	Dec-22	Feb-23	Multi-Family (25+ Units)	All	$1,770 	-0.10%	1.50%	1
 National	Jan-23	Mar-23	Multi-Family (25+ Units)	All	$1,774 	0.20%	0.50%	1
 National	Feb-23	Apr-23	Multi-Family (25+ Units)	All	$1,782 	0.50%	-0.20%	1
 National	Mar-23	May-23	Multi-Family (25+ Units)	All	$1,795 	0.70%	-1.10%	1
 National	Apr-23	Jun-23	Multi-Family (25+ Units)	All	$1,796 	0.10%	-2.70%	1
 National	May-23	Jul-23	Multi-Family (25+ Units)	All	$1,791 	-0.30%	-3.70%	1
 National	Jun-23	Aug-23	Multi-Family (25+ Units)	All	$1,771 	-1.10%	-4.00%	1
 National	Jul-23	Sep-23	Multi-Family (25+ Units)	All	$1,755 	-0.90%	-3.60%	1
 National	Aug-23	Oct-23	Multi-Family (25+ Units)	All	$1,730 	-1.40%	-3.10%	1
 National	Sep-23	Nov-23	Multi-Family (25+ Units)	All	$1,710 	-1.20%	-3.70%	1
 National	Oct-23	Dec-23	Multi-Family (25+ Units)	All	$1,700 	-0.60%	-3.90%	1
 National	Nov-23	Jan-24	Multi-Family (25+ Units)	All	$1,715 	0.90%	-3.20%	1
 National	Dec-23	Feb-24	Multi-Family (25+ Units)	All	$1,725 	0.60%	-2.50%	1
 National	Jan-24	Mar-24	Multi-Family (25+ Units)	All	$1,740 	0.90%	-1.90%	1
 National	Feb-24	Apr-24	Multi-Family (25+ Units)	All	$1,750 	0.60%	-1.80%	1
 National	Mar-24	May-24	Multi-Family (25+ Units)	All	$1,766 	0.90%	-1.60%	1
 National	Apr-24	Jun-24	Multi-Family (25+ Units)	All	$1,768 	0.10%	-1.60%	1
 National	May-24	Jul-24	Multi-Family (25+ Units)	All	$1,760 	-0.50%	-1.70%	1
 National	Jun-24	Aug-24	Multi-Family (25+ Units)	All	$1,745 	-0.90%	-1.50%	1
 National	Jul-24	Sep-24	Multi-Family (25+ Units)	All	$1,730 	-0.90%	-1.40%	1
 National	Aug-24	Oct-24	Multi-Family (25+ Units)	All	$1,710 	-1.20%	-1.20%	1
 National	Sep-24	Nov-24	Multi-Family (25+ Units)	All	$1,700 	-0.60%	-0.60%	1
 National	Oct-24	Dec-24	Multi-Family (25+ Units)	All	$1,695 	-0.30%	-0.30%	1
 National	Nov-24	Jan-25	Multi-Family (25+ Units)	All	$1,704 	0.50%	-0.60%	1
 National	Dec-24	Feb-25	Multi-Family (25+ Units)	All	$1,725 	1.20%	0.00%	1
 National	Jan-25	Mar-25	Multi-Family (25+ Units)	All	$1,730 	0.30%	-0.60%	1
 National	Feb-25	Apr-25	Multi-Family (25+ Units)	All	$1,725 	-0.30%	-1.40%	1
 National	Mar-25	May-25	Multi-Family (25+ Units)	All	$1,750 	1.40%	-0.90%	1
 National	Apr-25	Jun-25	Multi-Family (25+ Units)	All	$1,775 	1.40%	0.40%	1
 National	May-25	Jul-25	Multi-Family (25+ Units)	All	$1,785 	0.60%	1.40%	1
 National	Jun-25	Aug-25	Multi-Family (25+ Units)	All	$1,790 	0.30%	2.60%	1
Atlanta, GA	Mar-19	May-19	Multi-Family (25+ Units)	All	$1,545 			1
Atlanta, GA	Apr-19	Jun-19	Multi-Family (25+ Units)	All	$1,495 	-3.20%		1
Atlanta, GA	May-19	Jul-19	Multi-Family (25+ Units)	All	$1,473 	-1.50%		1
Atlanta, GA	Jun-19	Aug-19	Multi-Family (25+ Units)	All	$1,404 	-4.70%		1
Atlanta, GA	Jul-19	Sep-19	Multi-Family (25+ Units)	All	$1,408 	0.30%		1
Atlanta, GA	Aug-19	Oct-19	Multi-Family (25+ Units)	All	$1,400 	-0.60%		1
Atlanta, GA	Sep-19	Nov-19	Multi-Family (25+ Units)	All	$1,400 	0.00%		1
Atlanta, GA	Oct-19	Dec-19	Multi-Family (25+ Units)	All	$1,390 	-0.70%		1
Atlanta, GA	Nov-19	Jan-20	Multi-Family (25+ Units)	All	$1,388 	-0.10%		1
Atlanta, GA	Dec-19	Feb-20	Multi-Family (25+ Units)	All	$1,380 	-0.60%		1
Atlanta, GA	Jan-20	Mar-20	Multi-Family (25+ Units)	All	$1,380 	0.00%		1
Atlanta, GA	Feb-20	Apr-20	Multi-Family (25+ Units)	All	$1,385 	0.40%		1
Atlanta, GA	Mar-20	May-20	Multi-Family (25+ Units)	All	$1,410 	1.80%	-8.70%	1
Atlanta, GA	Apr-20	Jun-20	Multi-Family (25+ Units)	All	$1,439 	2.10%	-3.70%	1
Atlanta, GA	May-20	Jul-20	Multi-Family (25+ Units)	All	$1,463 	1.70%	-0.70%	1
Atlanta, GA	Jun-20	Aug-20	Multi-Family (25+ Units)	All	$1,474 	0.80%	5.00%	1
Atlanta, GA	Jul-20	Sep-20	Multi-Family (25+ Units)	All	$1,480 	0.40%	5.10%	1
Atlanta, GA	Aug-20	Oct-20	Multi-Family (25+ Units)	All	$1,480 	0.00%	5.70%	1
Atlanta, GA	Sep-20	Nov-20	Multi-Family (25+ Units)	All	$1,488 	0.50%	6.30%	1
Atlanta, GA	Oct-20	Dec-20	Multi-Family (25+ Units)	All	$1,492 	0.30%	7.30%	1
Atlanta, GA	Nov-20	Jan-21	Multi-Family (25+ Units)	All	$1,505 	0.90%	8.40%	1
Atlanta, GA	Dec-20	Feb-21	Multi-Family (25+ Units)	All	$1,534 	1.90%	11.20%	1
Atlanta, GA	Jan-21	Mar-21	Multi-Family (25+ Units)	All	$1,579 	2.90%	14.40%	1
Atlanta, GA	Feb-21	Apr-21	Multi-Family (25+ Units)	All	$1,641 	3.90%	18.50%	1
Atlanta, GA	Mar-21	May-21	Multi-Family (25+ Units)	All	$1,666 	1.50%	18.20%	1
Atlanta, GA	Apr-21	Jun-21	Multi-Family (25+ Units)	All	$1,702 	2.20%	18.30%	1
Atlanta, GA	May-21	Jul-21	Multi-Family (25+ Units)	All	$1,734 	1.90%	18.50%	1
Atlanta, GA	Jun-21	Aug-21	Multi-Family (25+ Units)	All	$1,765 	1.80%	19.70%	1
Atlanta, GA	Jul-21	Sep-21	Multi-Family (25+ Units)	All	$1,790 	1.40%	20.90%	1
Atlanta, GA	Aug-21	Oct-21	Multi-Family (25+ Units)	All	$1,799 	0.50%	21.60%	1
Atlanta, GA	Sep-21	Nov-21	Multi-Family (25+ Units)	All	$1,795 	-0.20%	20.60%	1
Atlanta, GA	Oct-21	Dec-21	Multi-Family (25+ Units)	All	$1,788 	-0.40%	19.80%	1
Atlanta, GA	Nov-21	Jan-22	Multi-Family (25+ Units)	All	$1,785 	-0.20%	18.60%	1
Atlanta, GA	Dec-21	Feb-22	Multi-Family (25+ Units)	All	$1,793 	0.40%	16.90%	1
Atlanta, GA	Jan-22	Mar-22	Multi-Family (25+ Units)	All	$1,809 	0.90%	14.60%	1
Atlanta, GA	Feb-22	Apr-22	Multi-Family (25+ Units)	All	$1,830 	1.20%	11.50%	1
Atlanta, GA	Mar-22	May-22	Multi-Family (25+ Units)	All	$1,850 	1.10%	11.00%	1
Atlanta, GA	Apr-22	Jun-22	Multi-Family (25+ Units)	All	$1,864 	0.80%	9.50%	1
Atlanta, GA	May-22	Jul-22	Multi-Family (25+ Units)	All	$1,869 	0.30%	7.80%	1
Atlanta, GA	Jun-22	Aug-22	Multi-Family (25+ Units)	All	$1,850 	-1.00%	4.80%	1
Atlanta, GA	Jul-22	Sep-22	Multi-Family (25+ Units)	All	$1,825 	-1.40%	2.00%	1
Atlanta, GA	Aug-22	Oct-22	Multi-Family (25+ Units)	All	$1,795 	-1.60%	-0.20%	1
Atlanta, GA	Sep-22	Nov-22	Multi-Family (25+ Units)	All	$1,780 	-0.80%	-0.80%	1
Atlanta, GA	Oct-22	Dec-22	Multi-Family (25+ Units)	All	$1,779 	-0.10%	-0.50%	1
Atlanta, GA	Nov-22	Jan-23	Multi-Family (25+ Units)	All	$1,776 	-0.20%	-0.50%	1
Atlanta, GA	Dec-22	Feb-23	Multi-Family (25+ Units)	All	$1,775 	-0.10%	-1.00%	1
Atlanta, GA	Jan-23	Mar-23	Multi-Family (25+ Units)	All	$1,775 	0.00%	-1.90%	1
Atlanta, GA	Feb-23	Apr-23	Multi-Family (25+ Units)	All	$1,780 	0.30%	-2.70%	1
Atlanta, GA	Mar-23	May-23	Multi-Family (25+ Units)	All	$1,789 	0.50%	-3.30%	1
Atlanta, GA	Apr-23	Jun-23	Multi-Family (25+ Units)	All	$1,781 	-0.40%	-4.50%	1
Atlanta, GA	May-23	Jul-23	Multi-Family (25+ Units)	All	$1,760 	-1.20%	-5.80%	1
Atlanta, GA	Jun-23	Aug-23	Multi-Family (25+ Units)	All	$1,730 	-1.70%	-6.50%	1
Atlanta, GA	Jul-23	Sep-23	Multi-Family (25+ Units)	All	$1,705 	-1.40%	-6.60%	1
Atlanta, GA	Aug-23	Oct-23	Multi-Family (25+ Units)	All	$1,686 	-1.10%	-6.10%	1
Atlanta, GA	Sep-23	Nov-23	Multi-Family (25+ Units)	All	$1,660 	-1.50%	-6.70%	1
Atlanta, GA	Oct-23	Dec-23	Multi-Family (25+ Units)	All	$1,639 	-1.30%	-7.90%	1
Atlanta, GA	Nov-23	Jan-24	Multi-Family (25+ Units)	All	$1,639 	0.00%	-7.70%	1
Atlanta, GA	Dec-23	Feb-24	Multi-Family (25+ Units)	All	$1,648 	0.50%	-7.20%	1
Atlanta, GA	Jan-24	Mar-24	Multi-Family (25+ Units)	All	$1,660 	0.70%	-6.50%	1
Atlanta, GA	Feb-24	Apr-24	Multi-Family (25+ Units)	All	$1,673 	0.80%	-6.00%	1
Atlanta, GA	Mar-24	May-24	Multi-Family (25+ Units)	All	$1,688 	0.90%	-5.60%	1
Atlanta, GA	Apr-24	Jun-24	Multi-Family (25+ Units)	All	$1,681 	-0.40%	-5.60%	1
Atlanta, GA	May-24	Jul-24	Multi-Family (25+ Units)	All	$1,673 	-0.50%	-4.90%	1
Atlanta, GA	Jun-24	Aug-24	Multi-Family (25+ Units)	All	$1,644 	-1.70%	-5.00%	1
Atlanta, GA	Jul-24	Sep-24	Multi-Family (25+ Units)	All	$1,632 	-0.70%	-4.30%	1
Atlanta, GA	Aug-24	Oct-24	Multi-Family (25+ Units)	All	$1,616 	-1.00%	-4.20%	1
Atlanta, GA	Sep-24	Nov-24	Multi-Family (25+ Units)	All	$1,624 	0.50%	-2.20%	1
Atlanta, GA	Oct-24	Dec-24	Multi-Family (25+ Units)	All	$1,618 	-0.40%	-1.30%	1
Atlanta, GA	Nov-24	Jan-25	Multi-Family (25+ Units)	All	$1,649 	1.90%	0.60%	1
Atlanta, GA	Dec-24	Feb-25	Multi-Family (25+ Units)	All	$1,669 	1.20%	1.30%	1
Atlanta, GA	Jan-25	Mar-25	Multi-Family (25+ Units)	All	$1,679 	0.60%	1.10%	1
Atlanta, GA	Feb-25	Apr-25	Multi-Family (25+ Units)	All	$1,663 	-1.00%	-0.60%	1
Atlanta, GA	Mar-25	May-25	Multi-Family (25+ Units)	All	$1,669 	0.40%	-1.10%	1
Atlanta, GA	Apr-25	Jun-25	Multi-Family (25+ Units)	All	$1,686 	1.00%	0.30%	1
Atlanta, GA	May-25	Jul-25	Multi-Family (25+ Units)	All	$1,695 	0.50%	1.30%	1
Atlanta, GA	Jun-25	Aug-25	Multi-Family (25+ Units)	All	$1,701 	0.40%	3.50%	1
Austin, TX	Mar-19	May-19	Multi-Family (25+ Units)	All	$1,492 			1
Austin, TX	Apr-19	Jun-19	Multi-Family (25+ Units)	All	$1,465 	-1.80%		1
Austin, TX	May-19	Jul-19	Multi-Family (25+ Units)	All	$1,445 	-1.40%		1
Austin, TX	Jun-19	Aug-19	Multi-Family (25+ Units)	All	$1,381 	-4.40%		1
Austin, TX	Jul-19	Sep-19	Multi-Family (25+ Units)	All	$1,370 	-0.80%		1
Austin, TX	Aug-19	Oct-19	Multi-Family (25+ Units)	All	$1,367 	-0.20%		1
Austin, TX	Sep-19	Nov-19	Multi-Family (25+ Units)	All	$1,369 	0.10%		1
Austin, TX	Oct-19	Dec-19	Multi-Family (25+ Units)	All	$1,355 	-1.00%		1
Austin, TX	Nov-19	Jan-20	Multi-Family (25+ Units)	All	$1,325 	-2.20%		1
Austin, TX	Dec-19	Feb-20	Multi-Family (25+ Units)	All	$1,319 	-0.50%		1
Austin, TX	Jan-20	Mar-20	Multi-Family (25+ Units)	All	$1,314 	-0.40%		1
Austin, TX	Feb-20	Apr-20	Multi-Family (25+ Units)	All	$1,330 	1.20%		1
Austin, TX	Mar-20	May-20	Multi-Family (25+ Units)	All	$1,339 	0.70%	-10.30%	1
Austin, TX	Apr-20	Jun-20	Multi-Family (25+ Units)	All	$1,355 	1.20%	-7.50%	1
Austin, TX	May-20	Jul-20	Multi-Family (25+ Units)	All	$1,350 	-0.40%	-6.60%	1
Austin, TX	Jun-20	Aug-20	Multi-Family (25+ Units)	All	$1,345 	-0.40%	-2.60%	1
Austin, TX	Jul-20	Sep-20	Multi-Family (25+ Units)	All	$1,333 	-0.90%	-2.70%	1
Austin, TX	Aug-20	Oct-20	Multi-Family (25+ Units)	All	$1,344 	0.80%	-1.70%	1
Austin, TX	Sep-20	Nov-20	Multi-Family (25+ Units)	All	$1,335 	-0.70%	-2.50%	1
Austin, TX	Oct-20	Dec-20	Multi-Family (25+ Units)	All	$1,335 	0.00%	-1.50%	1
Austin, TX	Nov-20	Jan-21	Multi-Family (25+ Units)	All	$1,327 	-0.60%	0.20%	1
Austin, TX	Dec-20	Feb-21	Multi-Family (25+ Units)	All	$1,352 	1.90%	2.50%	1
Austin, TX	Jan-21	Mar-21	Multi-Family (25+ Units)	All	$1,390 	2.80%	5.80%	1
Austin, TX	Feb-21	Apr-21	Multi-Family (25+ Units)	All	$1,450 	4.30%	9.00%	1
Austin, TX	Mar-21	May-21	Multi-Family (25+ Units)	All	$1,475 	1.70%	10.20%	1
Austin, TX	Apr-21	Jun-21	Multi-Family (25+ Units)	All	$1,523 	3.30%	12.40%	1
Austin, TX	May-21	Jul-21	Multi-Family (25+ Units)	All	$1,575 	3.40%	16.70%	1
Austin, TX	Jun-21	Aug-21	Multi-Family (25+ Units)	All	$1,615 	2.50%	20.10%	1
Austin, TX	Jul-21	Sep-21	Multi-Family (25+ Units)	All	$1,629 	0.90%	22.20%	1
Austin, TX	Aug-21	Oct-21	Multi-Family (25+ Units)	All	$1,642 	0.80%	22.20%	1
Austin, TX	Sep-21	Nov-21	Multi-Family (25+ Units)	All	$1,640 	-0.10%	22.80%	1
Austin, TX	Oct-21	Dec-21	Multi-Family (25+ Units)	All	$1,635 	-0.30%	22.50%	1
Austin, TX	Nov-21	Jan-22	Multi-Family (25+ Units)	All	$1,630 	-0.30%	22.80%	1
Austin, TX	Dec-21	Feb-22	Multi-Family (25+ Units)	All	$1,635 	0.30%	20.90%	1
Austin, TX	Jan-22	Mar-22	Multi-Family (25+ Units)	All	$1,665 	1.80%	19.80%	1
Austin, TX	Feb-22	Apr-22	Multi-Family (25+ Units)	All	$1,686 	1.30%	16.30%	1
Austin, TX	Mar-22	May-22	Multi-Family (25+ Units)	All	$1,713 	1.60%	16.10%	1
Austin, TX	Apr-22	Jun-22	Multi-Family (25+ Units)	All	$1,737 	1.40%	14.10%	1
Austin, TX	May-22	Jul-22	Multi-Family (25+ Units)	All	$1,749 	0.70%	11.00%	1
Austin, TX	Jun-22	Aug-22	Multi-Family (25+ Units)	All	$1,730 	-1.10%	7.10%	1
Austin, TX	Jul-22	Sep-22	Multi-Family (25+ Units)	All	$1,699 	-1.80%	4.30%	1
Austin, TX	Aug-22	Oct-22	Multi-Family (25+ Units)	All	$1,659 	-2.40%	1.00%	1
Austin, TX	Sep-22	Nov-22	Multi-Family (25+ Units)	All	$1,649 	-0.60%	0.50%	1
Austin, TX	Oct-22	Dec-22	Multi-Family (25+ Units)	All	$1,641 	-0.50%	0.40%	1
Austin, TX	Nov-22	Jan-23	Multi-Family (25+ Units)	All	$1,653 	0.70%	1.40%	1
Austin, TX	Dec-22	Feb-23	Multi-Family (25+ Units)	All	$1,649 	-0.20%	0.90%	1
Austin, TX	Jan-23	Mar-23	Multi-Family (25+ Units)	All	$1,650 	0.10%	-0.90%	1
Austin, TX	Feb-23	Apr-23	Multi-Family (25+ Units)	All	$1,651 	0.10%	-2.10%	1
Austin, TX	Mar-23	May-23	Multi-Family (25+ Units)	All	$1,673 	1.30%	-2.30%	1
Austin, TX	Apr-23	Jun-23	Multi-Family (25+ Units)	All	$1,665 	-0.50%	-4.10%	1
Austin, TX	May-23	Jul-23	Multi-Family (25+ Units)	All	$1,654 	-0.70%	-5.40%	1
Austin, TX	Jun-23	Aug-23	Multi-Family (25+ Units)	All	$1,624 	-1.80%	-6.10%	1
Austin, TX	Jul-23	Sep-23	Multi-Family (25+ Units)	All	$1,615 	-0.60%	-4.90%	1
Austin, TX	Aug-23	Oct-23	Multi-Family (25+ Units)	All	$1,595 	-1.20%	-3.90%	1
Austin, TX	Sep-23	Nov-23	Multi-Family (25+ Units)	All	$1,577 	-1.10%	-4.40%	1
Austin, TX	Oct-23	Dec-23	Multi-Family (25+ Units)	All	$1,570 	-0.40%	-4.30%	1
Austin, TX	Nov-23	Jan-24	Multi-Family (25+ Units)	All	$1,570 	0.00%	-5.00%	1
Austin, TX	Dec-23	Feb-24	Multi-Family (25+ Units)	All	$1,580 	0.60%	-4.20%	1
Austin, TX	Jan-24	Mar-24	Multi-Family (25+ Units)	All	$1,581 	0.10%	-4.20%	1
Austin, TX	Feb-24	Apr-24	Multi-Family (25+ Units)	All	$1,580 	-0.10%	-4.30%	1
Austin, TX	Mar-24	May-24	Multi-Family (25+ Units)	All	$1,573 	-0.40%	-6.00%	1
Austin, TX	Apr-24	Jun-24	Multi-Family (25+ Units)	All	$1,567 	-0.40%	-5.90%	1
Austin, TX	May-24	Jul-24	Multi-Family (25+ Units)	All	$1,559 	-0.50%	-5.70%	1
Austin, TX	Jun-24	Aug-24	Multi-Family (25+ Units)	All	$1,549 	-0.60%	-4.60%	1
Austin, TX	Jul-24	Sep-24	Multi-Family (25+ Units)	All	$1,525 	-1.50%	-5.60%	1
Austin, TX	Aug-24	Oct-24	Multi-Family (25+ Units)	All	$1,503 	-1.40%	-5.80%	1
Austin, TX	Sep-24	Nov-24	Multi-Family (25+ Units)	All	$1,499 	-0.30%	-4.90%	1
Austin, TX	Oct-24	Dec-24	Multi-Family (25+ Units)	All	$1,498 	-0.10%	-4.60%	1
Austin, TX	Nov-24	Jan-25	Multi-Family (25+ Units)	All	$1,502 	0.30%	-4.30%	1
Austin, TX	Dec-24	Feb-25	Multi-Family (25+ Units)	All	$1,506 	0.30%	-4.70%	1
Austin, TX	Jan-25	Mar-25	Multi-Family (25+ Units)	All	$1,508 	0.10%	-4.60%	1
Austin, TX	Feb-25	Apr-25	Multi-Family (25+ Units)	All	$1,516 	0.50%	-4.10%	1
Austin, TX	Mar-25	May-25	Multi-Family (25+ Units)	All	$1,525 	0.60%	-3.10%	1
Austin, TX	Apr-25	Jun-25	Multi-Family (25+ Units)	All	$1,529 	0.30%	-2.40%	1
Austin, TX	May-25	Jul-25	Multi-Family (25+ Units)	All	$1,512 	-1.10%	-3.00%	1
Austin, TX	Jun-25	Aug-25	Multi-Family (25+ Units)	All	$1,501 	-0.70%	-3.10%	1
Baltimore, MD	Mar-19	May-19	Multi-Family (25+ Units)	All	$1,536 			1
Baltimore, MD	Apr-19	Jun-19	Multi-Family (25+ Units)	All	$1,492 	-2.90%		1
Baltimore, MD	May-19	Jul-19	Multi-Family (25+ Units)	All	$1,465 	-1.80%		1
Baltimore, MD	Jun-19	Aug-19	Multi-Family (25+ Units)	All	$1,420 	-3.10%		1
Baltimore, MD	Jul-19	Sep-19	Multi-Family (25+ Units)	All	$1,415 	-0.40%		1
